low,high,street,side
3000,3199,ANDERSON CT,B
2500,2599,HERENHUIS DR,B
2042,2222,W VIENNA RD,E
4000,4731,FLINT RIVER RD,B
1,254,WHITE RD,B
86,86,W HARRINGTON RD,E
8000,8299,BARDEN RD,B
524,524,E FLINT ST,E
9200,9398,MONICA DR,B
5470,5470,STIMSON RD,E
2000,2500,CUSTER RD,E
3700,3804,CROSS CRK,B
6460,6460,E BENNINGTON RD,E
100,599,MERCER ST,B
8690,8690,S VERNON RD,E
10275,10471,CIRCLE J DR,O
2400,2499,FENTON CREEK CT,B
13610,13850,HOLTFORTH RD,E
6289,6289,MABLEY HILL RD,O
15100,15199,PILLEN DR,B
601,687,SHORELINE DR,O
2000,2099,WINDSOR BEACH DR,B
3100,3199,BRENTFIELD DR,B
6200,6599,HUMPHREY AVE,B
11151,11325,RILEY RD,O
5449,5449,UMBREIT DR,O
7521,7521,LAHRING RD,O
5900,6074,GROESBECK LN,E
2020,2280,E BALDWIN RD,E
5400,5499,COUNTRY HEARTH LN,B
4086,4220,HEATHER HILL DR,B
6100,6199,LILAC LN,B
2200,2299,PAULINE CIR,B
8004,8308,S SAGINAW ST,E
6000,6199,WEDGEWOOD DR,B
9500,9999,FOREST DR,B
4125,4125,BALDWIN RD,O
2297,4057,S FENTON RD,O
14465,15107,N HOLLY RD,O
5431,5431,PERRYVILLE RD,O
535,535,N VAN RD,O
7000,8898,E IMLAY CITY RD,E
3022,3022,N VAN DYKE RD,E
3500,3599,ARLINGTON CT,B
312,340,DECOY LN,B
1868,1868,E HUNTERS CREEK RD,E
1796,1796,MAYFIELD RD,E
1519,1519,W RIDGEVIEW DR,O
11831,11935,ARDEL DR,O
7616,7634,BIRCH RD,E
6740,6800,PECK RD,E
14,99,EMERALD POINTE,B
5034,5482,RAY RD,E
3100,3450,COOPER RD,E
4750,6230,REYNOLDS RD,E
5261,5261,BARBER RD,O
5001,5499,S LAKE GEORGE RD,O
8130,8130,BIG GULLEY RD,E
9247,9247,MORRISH RD,O
7518,7518,WILLARD RD,E
5355,5355,E FRANCES RD,O
1400,1599,LINCOLN AVE,B
6000,9000,TOMMY TRL,B
8493,8493,REED RD,O
6600,6899,LINCOLN ST,B
3103,3103,DAVISON LAKE RD,O
650,650,S JOSSMAN RD,E
1255,1295,RATTLESNAKE LN,O
100,299,KURTZ ST,B
6000,6659,SHERMAN DR,B
3102,3306,PRITCHETT RD,E
8300,8399,SHORE DR,B
3500,4998,REDMAN RD,E
33,367,BRIDGEHAMPTON ST,O
404,2750,N SANDUSKY RD,E
4600,5046,UBLY RD,E
4000,4750,GATEWAY BLVD,B
5068,5068,LINDEN RD,E
5078,5078,REID RD,E
1006,3998,CUMBER RD,E
8413,8413,S UBLY RD,O
746,746,E 12TH ST,E
1016,1016,ANN ARBOR ST,E
2015,2799,BROOKSIDE DR,O
121,221,S CUMBERLAND ST,B
1300,1698,N GRAND TRAVERSE ST,E
1114,1114,KNIGHT AVE,E
2305,2305,MASON ST,O
1800,1899,SPRINGFIELD ST,B
